cluster,n,n_patients,top_n,top_share,top_patient,null_patients,null_share
0,120,3,71,0.5916666666666667,23,24.685,0.11091666666666665
1,236,11,69,0.2923728813559322,11,26.28,0.10396186440677965
2,191,12,69,0.3612565445026178,25,25.7875,0.10496073298429319
3,150,4,140,0.9333333333333333,22,25.3325,0.10881666666666667
4,47,1,47,1.0,17,19.6875,0.13186170212765957
5,326,22,98,0.3006134969325153,26,26.6175,0.1014723926380368
6,165,6,59,0.3575757575757576,18,25.65,0.10887878787878787
7,453,24,67,0.1479028697571744,1,26.7925,0.09867549668874172
