,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8
s1_c0,2.0,1.0,1.0,0.0,22.0,129.0,26.0,0.0,14.0
s1_c1,6.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s1_c2,31.0,1.0,96.0,0.0,28.0,5.0,3.0,0.0,13.0
s1_c3,29.0,3.0,0.0,0.0,9.0,6.0,8.0,0.0,117.0
s1_c4,46.0,78.0,0.0,0.0,12.0,2.0,44.0,0.0,3.0
s1_c5,0.0,0.0,131.0,0.0,29.0,16.0,1.0,0.0,47.0
s1_c6,3.0,9.0,2.0,50.0,51.0,0.0,0.0,0.0,9.0
s1_c7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0
s1_c8,1.0,0.0,1.0,0.0,6.0,39.0,59.0,0.0,202.0
