,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6
s1_c0,29.0,3.0,21.0,0.0,7.0,178.0,11.0
s1_c1,5.0,1.0,7.0,82.0,2.0,0.0,12.0
s1_c2,328.0,0.0,58.0,1.0,4.0,14.0,10.0
s1_c3,0.0,203.0,31.0,0.0,9.0,1.0,0.0
s1_c4,6.0,0.0,10.0,1.0,30.0,3.0,217.0
s1_c5,10.0,17.0,98.0,4.0,5.0,14.0,37.0
s1_c6,8.0,2.0,4.0,0.0,133.0,0.0,8.0
