cluster,reference_cluster,jaccard,block_position
0,3,0.6784,2
1,2,0.2062,3
2,1,0.327,0
3,6,0.2831,4
4,0,0.028,6
5,7,0.1876,5
6,4,0.3985,1
7,5,0.2913,7
