,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,35.0,5.0,42.0,22.0,29.0,7.0,12.0,0.0
s1_c1,10.0,273.0,2.0,12.0,0.0,7.0,124.0,0.0
s1_c2,1.0,21.0,12.0,6.0,2.0,4.0,11.0,79.0
s1_c3,1.0,2.0,5.0,38.0,5.0,122.0,2.0,0.0
s1_c4,172.0,7.0,4.0,12.0,1.0,1.0,3.0,2.0
s1_c5,0.0,2.0,3.0,13.0,114.0,11.0,24.0,1.0
s1_c6,7.0,0.0,178.0,0.0,3.0,20.0,13.0,2.0
s1_c7,13.0,14.0,1.0,119.0,9.0,31.0,7.0,2.0
