cluster,n,n_patients,top_n,top_share,top_patient,null_patients,null_share
0,97,15,17,0.17525773195876287,9,23.9275,0.11427835051546392
1,75,1,75,1.0,23,22.65,0.12126666666666668
2,54,5,47,0.8703703703703703,17,20.7225,0.12861111111111112
3,107,8,86,0.8037383177570093,22,24.2875,0.11303738317757009
4,97,11,66,0.6804123711340206,8,23.9725,0.11548969072164947
5,199,22,32,0.16080402010050251,8,25.9775,0.10585427135678391
6,122,11,68,0.5573770491803278,25,24.7525,0.11079918032786885
7,121,9,102,0.8429752066115702,26,24.7875,0.11121900826446282
8,121,18,45,0.371900826446281,6,24.765,0.11214876033057852
9,90,14,18,0.2,25,23.6,0.11658333333333333
10,212,17,59,0.2783018867924528,10,26.085,0.10495283018867925
11,82,9,65,0.7926829268292683,11,23.1625,0.11725609756097563
12,212,14,55,0.25943396226415094,18,26.015,0.1059316037735849
13,104,15,39,0.375,22,24.16,0.11348557692307694
