,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5
s1_c0,64.0,98.0,10.0,155.0,14.0,80.0
s1_c1,43.0,3.0,47.0,120.0,14.0,51.0
s1_c2,37.0,9.0,213.0,11.0,5.0,22.0
s1_c3,54.0,6.0,10.0,3.0,57.0,79.0
s1_c4,39.0,3.0,30.0,29.0,108.0,64.0
s1_c5,22.0,88.0,2.0,2.0,5.0,27.0
