comparison,axis,method_1,feature_set_1,run_1,k_1,graded_1,method_2,feature_set_2,run_2,k_2,graded_2,n_matched,r_matched_mean,r_matched_min,r_unmatched_mean,r_gap,n_electrodes,diag_share,diag_null_mean,diag_null_sd,diag_z,diag_p,diag_n_draw,diag_share_adj,overlap_hard_mean,n_sig_plain_hard,n_sig_within_hard,overlap_weighted_mean,n_sig_plain_weighted,n_sig_within_weighted
cnmf_vs_kmeans_concat_hg,A algorithms,cnmf,concat_hg,20260924_021756,10,True,kmeans,concat_hg,20260924_014902,10,False,10,0.9065161680864273,0.7138643762722674,-0.0928795930097594,0.9993957610961868,1624,0.6428571428571429,0.09913793103448276,0.058320724660799086,9.322915909996004,0.009900990099009901,100,0.6035543403964457,0.5014877294823445,10,10,0.19517353214535524,10,10
cnmf_vs_hierarchical_concat_hg,A algorithms,cnmf,concat_hg,20260924_021756,10,True,hierarchical,concat_hg,20260924_014907,10,False,10,0.8293765572571029,0.31195284765573117,-0.08171166793411572,0.9110882251912187,1624,0.5227832512315271,0.09130541871921183,0.06301803376195023,6.84689455945606,0.009900990099009901,100,0.4748326240750278,0.4159980600669755,10,9,0.17432709137915606,9,9
kmeans_vs_hierarchical_concat_hg,A algorithms,kmeans,concat_hg,20260924_014902,10,False,hierarchical,concat_hg,20260924_014907,10,False,10,0.7600728654344903,-0.11791701026009875,-0.07299043402218125,0.8330632994566716,1624,0.5252463054187192,0.0744704433497537,0.06018402866365911,7.489958251019464,0.009900990099009901,100,0.48704642529240344,0.44897503890747964,8,7,0.44897503890747964,8,7
cnmf_concat_hg_vs_concat_bands5,B feature sets,cnmf,concat_hg,20260924_021756,10,True,cnmf,concat_bands5,20260924_023340,10,True,10,0.6652273357765778,-0.03054864879639669,-0.06848327415606098,0.7337106099326387,1624,0.43103448275862066,0.0916871921182266,0.04293496132709523,7.903752097390154,0.009900990099009901,100,0.37360178970917224,0.29849251244872077,9,7,0.41281396644344837,9,8
cnmf_concat_hg_vs_concat_bands5z,B feature sets,cnmf,concat_hg,20260924_021756,10,True,cnmf,concat_bands5z,20260924_024006,10,True,10,0.7247934660881687,0.33361677896366376,-0.07834891909298371,0.8031423851811524,1624,0.4224137931034483,0.1039901477832512,0.047587048691457856,6.691393017137369,0.009900990099009901,100,0.355379625048106,0.2916757992773252,10,7,0.41648712672605714,10,10
cnmf_concat_hg_vs_concat_rawds,B feature sets,cnmf,concat_hg,20260924_021756,10,True,cnmf,concat_rawds,20260924_022631,10,True,10,0.6444965001888154,0.06450750542520835,-0.06527043201732775,0.7097669322061432,1624,0.41810344827586204,0.09448891625615762,0.04332363445110558,7.4696995328249995,0.009900990099009901,100,0.3573832919655911,0.2984670219307388,8,7,0.39192459459917134,9,6
