,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,0.0,0.0,92.0,14.0,9.0,43.0,5.0,24.0
s1_c1,2.0,0.0,0.0,6.0,112.0,79.0,6.0,18.0
s1_c2,0.0,0.0,1.0,6.0,49.0,11.0,9.0,285.0
s1_c3,0.0,0.0,1.0,0.0,0.0,30.0,156.0,21.0
s1_c4,2.0,47.0,11.0,47.0,13.0,0.0,0.0,9.0
s1_c5,0.0,0.0,22.0,136.0,4.0,0.0,13.0,54.0
s1_c6,24.0,0.0,23.0,9.0,2.0,30.0,0.0,38.0
s1_c7,172.0,0.0,1.0,0.0,13.0,39.0,0.0,0.0
