,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,16.0,4.0,47.0,38.0,37.0,71.0,27.0,8.0
s1_c1,15.0,180.0,27.0,2.0,38.0,26.0,23.0,10.0
s1_c2,72.0,3.0,33.0,3.0,20.0,18.0,9.0,1.0
s1_c3,10.0,4.0,44.0,152.0,16.0,4.0,3.0,3.0
s1_c4,29.0,97.0,21.0,6.0,33.0,22.0,3.0,5.0
s1_c5,4.0,20.0,36.0,16.0,16.0,10.0,10.0,91.0
s1_c6,8.0,31.0,10.0,23.0,12.0,30.0,7.0,5.0
s1_c7,12.0,6.0,36.0,10.0,51.0,17.0,70.0,8.0
