cluster,n,n_patients,top_n,top_share,top_patient,null_patients,null_share
0,323,20,69,0.21362229102167182,26,26.575,0.10010835913312693
1,24,9,5,0.20833333333333334,3,14.4525,0.15864583333333335
2,76,8,34,0.4473684210526316,1,22.9825,0.11819078947368421
3,3,1,3,1.0,2,2.83,0.39
4,192,17,48,0.25,18,25.9525,0.10639322916666666
5,10,2,6,0.6,15,8.0125,0.22325000000000003
6,568,25,109,0.19190140845070422,25,26.9,0.09673415492957746
7,497,24,85,0.1710261569416499,8,26.9,0.09757545271629779
