,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,35.0,51.0,39.0,18.0,4.0,9.0,15.0,61.0
s1_c1,1.0,42.0,42.0,6.0,160.0,8.0,42.0,41.0
s1_c2,125.0,7.0,4.0,15.0,7.0,6.0,21.0,39.0
s1_c3,4.0,15.0,44.0,19.0,20.0,16.0,41.0,36.0
s1_c4,10.0,5.0,5.0,4.0,17.0,99.0,25.0,33.0
s1_c5,4.0,8.0,20.0,21.0,98.0,6.0,17.0,19.0
s1_c6,1.0,20.0,31.0,67.0,5.0,1.0,8.0,34.0
s1_c7,37.0,5.0,3.0,5.0,16.0,36.0,13.0,22.0
