,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,18.0,18.0,36.0,70.0,3.0,42.0,55.0,6.0
s1_c1,41.0,12.0,1.0,21.0,159.0,45.0,35.0,7.0
s1_c2,10.0,70.0,3.0,17.0,4.0,21.0,32.0,2.0
s1_c3,20.0,13.0,138.0,3.0,10.0,8.0,40.0,4.0
s1_c4,22.0,19.0,4.0,16.0,103.0,26.0,21.0,5.0
s1_c5,26.0,8.0,7.0,7.0,19.0,13.0,28.0,95.0
s1_c6,2.0,14.0,21.0,12.0,13.0,41.0,20.0,3.0
s1_c7,37.0,27.0,5.0,14.0,17.0,58.0,44.0,8.0
