cluster,reference_cluster,jaccard,block_position
0,4,0.3936,1
1,5,0.543,7
2,2,0.4615,3
3,6,0.3518,4
4,7,0.2699,5
5,3,0.771,2
6,1,0.6991,0
7,0,0.4009,6
