cluster,reference_cluster,jaccard,block_position
0,5,0.1581,4
1,0,0.5721,6
2,3,0.5938,3
3,6,0.7566,2
4,7,0.7377,7
5,1,0.7906,5
6,2,0.6567,0
7,4,0.4333,1
