,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,0.0,32.0,0.0,147.0,34.0,14.0,4.0,0.0
s1_c1,4.0,11.0,0.0,0.0,202.0,11.0,1.0,0.0
s1_c2,7.0,6.0,0.0,7.0,22.0,17.0,1.0,128.0
s1_c3,7.0,140.0,0.0,24.0,5.0,5.0,2.0,11.0
s1_c4,191.0,33.0,0.0,0.0,4.0,0.0,2.0,22.0
s1_c5,0.0,2.0,0.0,59.0,19.0,245.0,1.0,35.0
s1_c6,2.0,36.0,53.0,50.0,14.0,1.0,4.0,13.0
s1_c7,0.0,0.0,0.0,1.0,7.0,0.0,83.0,0.0
