k,method_1,feature_1,method_2,feature_2,same_algorithm,same_feature,diagonal_share,null_mean,null_p95,p_value,chance_corrected,n_electrodes,n_perm,run_1,run_2
7,kmeans,concat_hg,kmeans,concat_rawds,True,False,0.3657635467980296,0.17355911330049265,0.18226600985221675,0.000999000999000999,0.2325688825308835,1624,1000,20260924_014902,20260924_014931
7,kmeans,concat_hg,kmeans,concat_bands5z,True,False,0.5043103448275862,0.1784692118226601,0.18780788177339902,0.000999000999000999,0.3966268065593037,1624,1000,20260924_014902,20260924_015027
7,kmeans,concat_hg,hierarchical,concat_hg,False,True,0.6767241379310345,0.18223645320197046,0.1915024630541872,0.000999000999000999,0.6046829632663879,1624,1000,20260924_014902,20260924_014907
7,kmeans,concat_hg,hierarchical,concat_rawds,False,False,0.3866995073891626,0.18501785714285715,0.1958128078817734,0.000999000999000999,0.24746756970558303,1624,1000,20260924_014902,20260924_014916
7,kmeans,concat_hg,hierarchical,concat_bands5z,False,False,0.42795566502463056,0.18073029556650244,0.19091748768472902,0.000999000999000999,0.301763104531099,1624,1000,20260924_014902,20260924_014937
7,kmeans,concat_hg,cnmf,concat_hg,False,True,0.7629310344827587,0.17981034482758623,0.1896551724137931,0.000999000999000999,0.7109583569821951,1624,1000,20260924_014902,20260924_021756
7,kmeans,concat_hg,cnmf,concat_rawds,False,False,0.35714285714285715,0.17382635467980295,0.18291256157635466,0.000999000999000999,0.2218861658217225,1624,1000,20260924_014902,20260924_022631
7,kmeans,concat_hg,cnmf,concat_bands5z,False,False,0.48091133004926107,0.17641440886699508,0.1853448275862069,0.000999000999000999,0.3697210398780414,1624,1000,20260924_014902,20260924_024006
7,kmeans,concat_rawds,kmeans,concat_bands5z,True,False,0.6237684729064039,0.17366502463054187,0.1828817733990148,0.000999000999000999,0.5446985323047941,1624,1000,20260924_014931,20260924_015027
7,kmeans,concat_rawds,hierarchical,concat_hg,False,False,0.35591133004926107,0.17432266009852218,0.1828817733990148,0.000999000999000999,0.2199269147587441,1624,1000,20260924_014931,20260924_014907
7,kmeans,concat_rawds,hierarchical,concat_rawds,False,True,0.6865763546798029,0.1759766009852217,0.18411330049261085,0.000999000999000999,0.619642299363181,1624,1000,20260924_014931,20260924_014916
7,kmeans,concat_rawds,hierarchical,concat_bands5z,False,False,0.5270935960591133,0.17398891625615767,0.1828817733990148,0.000999000999000999,0.4274817696180677,1624,1000,20260924_014931,20260924_014937
7,kmeans,concat_rawds,cnmf,concat_hg,False,False,0.3626847290640394,0.1733768472906404,0.18226600985221675,0.000999000999000999,0.22901352466709773,1624,1000,20260924_014931,20260924_021756
7,kmeans,concat_rawds,cnmf,concat_rawds,False,True,0.7555418719211823,0.17165640394088671,0.17980295566502463,0.000999000999000999,0.7048831798279849,1624,1000,20260924_014931,20260924_022631
