,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5
s1_c0,5.0,8.0,0.0,29.0,105.0,62.0
s1_c1,3.0,21.0,98.0,52.0,25.0,58.0
s1_c2,0.0,6.0,0.0,159.0,15.0,140.0
s1_c3,0.0,286.0,11.0,52.0,9.0,25.0
s1_c4,2.0,138.0,5.0,1.0,2.0,111.0
s1_c5,170.0,27.0,0.0,0.0,15.0,40.0
