,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6
s1_c0,6.0,0.0,25.0,1.0,39.0,97.0,39.0
s1_c1,0.0,238.0,112.0,2.0,46.0,11.0,34.0
s1_c2,16.0,5.0,33.0,3.0,5.0,1.0,73.0
s1_c3,5.0,11.0,5.0,107.0,53.0,12.0,26.0
s1_c4,141.0,1.0,18.0,0.0,0.0,25.0,35.0
s1_c5,0.0,4.0,1.0,1.0,125.0,23.0,59.0
s1_c6,12.0,9.0,24.0,0.0,25.0,2.0,170.0
