,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5
s1_c0,5.0,62.0,72.0,35.0,51.0,196.0
s1_c1,29.0,82.0,94.0,9.0,46.0,18.0
s1_c2,210.0,36.0,10.0,17.0,7.0,17.0
s1_c3,6.0,40.0,22.0,87.0,45.0,9.0
s1_c4,30.0,79.0,47.0,25.0,73.0,19.0
s1_c5,1.0,13.0,20.0,11.0,22.0,79.0
