cluster,reference_cluster,jaccard,block_position
0,3,0.4282,3
1,5,0.3333,4
2,4,0.3354,1
3,2,0.3618,0
4,1,0.0,5
5,0,0.2348,6
6,6,0.5543,2
7,7,0.0039,7
