,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8
s1_c0,5.0,0.0,5.0,0.0,41.0,0.0,9.0,108.0,17.0
s1_c1,1.0,7.0,1.0,0.0,114.0,0.0,7.0,26.0,9.0
s1_c2,36.0,3.0,6.0,1.0,18.0,0.0,57.0,4.0,15.0
s1_c3,3.0,1.0,2.0,1.0,22.0,45.0,31.0,38.0,5.0
s1_c4,0.0,20.0,116.0,10.0,2.0,0.0,12.0,15.0,5.0
s1_c5,4.0,11.0,0.0,100.0,47.0,0.0,5.0,0.0,22.0
s1_c6,2.0,222.0,45.0,1.0,39.0,0.0,2.0,25.0,21.0
s1_c7,127.0,3.0,14.0,0.0,2.0,0.0,3.0,5.0,52.0
s1_c8,2.0,1.0,29.0,1.0,8.0,0.0,0.0,1.0,68.0
