,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8,s2_c9
s1_c0,3.0,7.0,2.0,3.0,3.0,153.0,1.0,2.0,11.0,0.0
s1_c1,3.0,40.0,1.0,15.0,36.0,3.0,0.0,1.0,171.0,2.0
s1_c2,0.0,0.0,128.0,22.0,6.0,0.0,0.0,10.0,0.0,1.0
s1_c3,81.0,6.0,1.0,9.0,0.0,1.0,1.0,5.0,4.0,1.0
s1_c4,21.0,108.0,0.0,6.0,2.0,2.0,0.0,5.0,2.0,10.0
s1_c5,52.0,4.0,7.0,48.0,24.0,1.0,0.0,1.0,7.0,2.0
s1_c6,5.0,31.0,5.0,0.0,9.0,0.0,1.0,40.0,1.0,75.0
s1_c7,7.0,16.0,28.0,19.0,1.0,25.0,0.0,56.0,38.0,0.0
s1_c8,0.0,8.0,1.0,0.0,117.0,1.0,0.0,1.0,43.0,1.0
s1_c9,5.0,9.0,4.0,1.0,4.0,2.0,69.0,2.0,20.0,0.0
