cluster,reference_cluster,jaccard,block_position
0,0,0.4138,5
1,2,0.0587,3
2,4,0.3121,1
3,5,0.5805,6
4,6,0.2211,7
5,1,0.169,4
6,3,0.6265,2
7,7,0.3153,0
