cluster,reference_cluster,jaccard,block_position
0,8,0.1601,4
1,3,0.7702,8
2,11,0.3248,3
3,0,0.215,11
4,4,0.7574,2
5,5,0.1525,6
6,9,0.5612,0
7,1,0.9259,10
8,7,0.6892,9
9,6,0.844,7
10,10,0.4171,5
11,2,0.4888,1
