cluster_1,cluster_2,r_centred,r_plain,matched
0,0,-0.013934205141963363,0.5391082481896845,False
0,1,0.4296326230880992,0.8271890148623571,True
0,2,0.2518707150039225,0.7026775164628745,False
0,3,0.25613922234461517,0.7300682851301563,False
0,4,-0.6496555197273866,0.7157516476900182,False
0,5,-0.08920299834237491,0.6502080491681895,False
0,6,-0.07227088517210414,0.7721138864514402,False
0,7,0.03968717163747114,0.6955406375635953,False
1,0,-0.47204200002995433,0.4826787574345069,False
1,1,-0.03384283032187251,0.7576793666684062,False
1,2,0.2075530786579812,0.7726099227442633,False
1,3,-0.21784176728996288,0.7759509199640473,False
1,4,0.6641734904434614,0.9308097486048647,True
1,5,0.16026432658933515,0.7616034405745772,False
1,6,0.10374676362675661,0.8575068554652704,False
1,7,-0.4410881101533298,0.7152732380122898,False
2,0,0.9111327861852221,0.9423192523066637,True
2,1,-0.2934815995522786,0.4691614146465376,False
2,2,-0.6439702692911476,0.23463168266787326,False
2,3,-0.27088320618114614,0.4503192150805183,False
2,4,-0.06308769199395725,0.7146050852101771,False
2,5,-0.41188455426507786,0.40492624348651857,False
2,6,-0.16125366899454696,0.6200933697675388,False
2,7,0.67048993826357,0.8676771080426382,False
3,0,-0.1857028535620534,0.5140570045991577,False
3,1,0.028366149242433785,0.7268042130444888,False
3,2,0.24769542641517903,0.7183304909949081,False
3,3,0.11020460466277157,0.7206449253843474,False
3,4,-0.34212487035833866,0.8421951135466335,False
3,5,-0.016697278568034657,0.7075561735671104,False
3,6,0.6160428438546233,0.9509266611460152,True
3,7,-0.17113028685677803,0.6813915181769667,False
4,0,-0.1448693842264649,0.47826389511114137,False
4,1,-0.18740562343208267,0.6021243962900706,False
4,2,0.04906967325059633,0.6207584263096827,False
4,3,-0.338852900927168,0.5480704610616501,False
4,4,-0.2612508729675174,0.7120031445918318,False
4,5,0.8302744307658183,0.9315427547118611,True
4,6,0.16731159893174752,0.7900075508068972,False
4,7,-0.19027421622836566,0.6245926412129521,False
5,0,-0.2532654923294226,0.5409251207086847,False
5,1,0.021002517438301057,0.753286405183522,False
5,2,0.03918942902010884,0.7030989167650276,True
5,3,0.06748373766336453,0.8173451247074678,False
5,4,0.6184554985923494,0.9250460080516939,False
5,5,-0.24124078278104683,0.6483678882563706,False
5,6,-0.12763904545666047,0.8017592636763413,False
5,7,-0.12572161869881726,0.7711500544343712,False
6,0,-0.4929792428870913,0.1711695961458809,False
6,1,0.5418366353549038,0.814540520070669,False
6,2,0.4756530537624149,0.7473970956153495,False
6,3,0.7265117364190371,0.8710730567064777,True
6,4,-0.48008955167110445,0.6075487414790326,False
6,5,-0.13898501718282685,0.5163382359053365,False
6,6,-0.15600765995774474,0.6207936854303179,False
6,7,-0.11547816515039291,0.5154975975874868,False
7,0,0.47527318659007195,0.7548170564773984,False
7,1,-0.4510905892303915,0.5978835458269188,False
7,2,-0.45334462717005447,0.52255434642891,False
7,3,-0.2909007790598695,0.6693187546069101,False
7,4,0.4541192666506444,0.8936737105993942,False
7,5,-0.07120689982294043,0.6636916286748353,False
7,6,-0.13943226970187858,0.7670693289733601,False
7,7,0.16235351378618468,0.8046482469381687,True
