,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5
s1_c0,58.0,0.0,308.0,3.0,22.0,30.0
s1_c1,0.0,9.0,68.0,7.0,32.0,162.0
s1_c2,25.0,1.0,0.0,242.0,0.0,29.0
s1_c3,12.0,151.0,10.0,1.0,35.0,0.0
s1_c4,16.0,8.0,5.0,3.0,216.0,25.0
s1_c5,106.0,1.0,7.0,4.0,23.0,5.0
