cluster,reference_cluster,jaccard,block_position
0,7,0.1333,4
1,5,0.2407,1
2,6,0.1006,3
3,3,0.3252,8
4,2,0.0846,6
5,4,0.3682,5
6,1,0.0968,7
7,0,0.4331,2
8,8,0.1071,0
