cluster,reference_cluster,jaccard,block_position
0,5,0.6587,6
1,4,0.5263,1
2,3,0.7978,2
3,7,0.606,0
4,6,0.6055,7
5,1,0.4045,4
6,2,0.6042,3
7,0,0.5238,5
