,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8,s2_c9
s1_c0,10.0,6.0,4.0,0.0,88.0,7.0,33.0,7.0,24.0,6.0
s1_c1,0.0,31.0,20.0,0.0,1.0,41.0,45.0,12.0,107.0,15.0
s1_c2,85.0,3.0,16.0,1.0,2.0,2.0,32.0,2.0,1.0,23.0
s1_c3,2.0,4.0,19.0,0.0,3.0,7.0,25.0,40.0,2.0,7.0
s1_c4,16.0,19.0,10.0,6.0,2.0,66.0,13.0,23.0,0.0,1.0
s1_c5,27.0,60.0,13.0,2.0,4.0,13.0,13.0,4.0,2.0,8.0
s1_c6,15.0,14.0,25.0,55.0,2.0,10.0,24.0,9.0,7.0,6.0
s1_c7,46.0,10.0,18.0,0.0,5.0,23.0,36.0,18.0,33.0,1.0
s1_c8,6.0,6.0,14.0,13.0,2.0,5.0,7.0,4.0,103.0,12.0
s1_c9,4.0,1.0,4.0,0.0,4.0,2.0,5.0,7.0,4.0,85.0
