,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,32.0,4.0,9.0,2.0,19.0,69.0,4.0,13.0
s1_c1,1.0,220.0,125.0,3.0,35.0,1.0,30.0,13.0
s1_c2,3.0,14.0,38.0,2.0,12.0,1.0,2.0,64.0
s1_c3,3.0,0.0,1.0,0.0,48.0,9.0,96.0,18.0
s1_c4,4.0,4.0,3.0,104.0,52.0,5.0,0.0,30.0
s1_c5,2.0,1.0,20.0,2.0,14.0,70.0,53.0,6.0
s1_c6,134.0,2.0,18.0,0.0,0.0,3.0,8.0,58.0
s1_c7,1.0,23.0,4.0,1.0,113.0,13.0,29.0,12.0
