,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8
s1_c0,8.0,51.0,21.0,3.0,7.0,11.0,40.0,40.0,4.0
s1_c1,19.0,15.0,8.0,6.0,4.0,65.0,19.0,27.0,2.0
s1_c2,34.0,10.0,18.0,0.0,4.0,21.0,36.0,15.0,2.0
s1_c3,5.0,18.0,24.0,53.0,2.0,11.0,24.0,5.0,6.0
s1_c4,3.0,11.0,27.0,4.0,3.0,18.0,11.0,3.0,100.0
s1_c5,15.0,8.0,6.0,0.0,81.0,8.0,42.0,14.0,15.0
s1_c6,4.0,48.0,37.0,0.0,5.0,30.0,41.0,43.0,149.0
s1_c7,136.0,7.0,19.0,2.0,2.0,4.0,31.0,1.0,4.0
s1_c8,20.0,19.0,6.0,0.0,4.0,2.0,10.0,7.0,42.0
