k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.18738049713193117
6,6,1,0.16666666666666666,0.10471204188481675,0.20451932882172985
7,7,1,0.14285714285714285,0.08609656777196044,0.2445414847161572
8,8,1,0.125,0.07329842931937172,0.286905838609185
9,9,1,0.1111111111111111,0.08086096567771961,0.30601092896174864
10,10,1,0.1,0.06631762652705062,0.3101263175506107
11,11,1,0.09090909090909091,0.06108202443280977,0.3597560975609756
12,12,4,0.3333333333333333,0.225130890052356,0.4125216888374783
13,13,5,0.38461538461538464,0.28853984874927285,0.3904109589041096
14,14,5,0.35714285714285715,0.2588714368819081,0.43967274035003595
15,15,7,0.4666666666666667,0.3641652123327516,0.4716981132075472
16,16,6,0.375,0.2815590459569517,0.43392857142857144
17,17,9,0.5294117647058824,0.4421175101803374,0.5056179775280899
18,18,10,0.5555555555555556,0.4909831297265852,0.5305250305250305
19,19,8,0.42105263157894735,0.4031413612565445,0.4431137724550898
20,20,9,0.45,0.36940081442699246,0.48617424242424245
21,21,9,0.42857142857142855,0.38219895287958117,0.4344262295081967
22,22,10,0.45454545454545453,0.36300174520069806,0.49067855488652157
23,23,13,0.5652173913043478,0.5241419429901105,0.5125
24,24,12,0.5,0.41361256544502617,0.5056971514242878
25,25,11,0.44,0.37521815008726006,0.49137931034482757
26,26,17,0.6538461538461539,0.5730075625363583,0.6049968374446553
27,27,14,0.5185185185185185,0.4857475276323444,0.5287356321839081
28,28,16,0.5714285714285714,0.5305410122164049,0.5462860310421287
29,29,20,0.6896551724137931,0.6230366492146597,0.75
30,30,18,0.6,0.585805700988947,0.75
