method,feature,k_a,k_b,diagonal_share,null_mean,chance_corrected
kmeans,concat_hg,6,7,0.7518472906403941,0.1858497536945813,0.6952003509355761
kmeans,concat_hg,6,8,0.6114532019704434,0.16850369458128076,0.5327137408819936
kmeans,concat_hg,6,9,0.6206896551724138,0.15480295566502464,0.5512166690951479
kmeans,concat_hg,6,10,0.562192118226601,0.1500985221674877,0.4848721961398018
kmeans,concat_hg,7,8,0.7512315270935961,0.16713054187192122,0.7013115675228083
kmeans,concat_hg,7,9,0.6773399014778325,0.15457512315270935,0.6183456302759711
kmeans,concat_hg,7,10,0.6262315270935961,0.14905788177339901,0.5607592280361523
kmeans,concat_hg,8,9,0.8399014778325123,0.15189655172413796,0.8112276014288619
kmeans,concat_hg,8,10,0.7758620689655172,0.14636083743842365,0.7374324646002698
kmeans,concat_hg,9,10,0.8583743842364532,0.14224137931034483,0.8348887293610912
kmeans,concat_rawds,6,7,0.8411330049261084,0.1767426108374384,0.8070263356694616
kmeans,concat_rawds,6,8,0.7721674876847291,0.1707204433497537,0.7252645257100427
kmeans,concat_rawds,6,9,0.7253694581280788,0.16081280788177346,0.6727422147867689
kmeans,concat_rawds,6,10,0.6139162561576355,0.15246305418719217,0.544463818657367
kmeans,concat_rawds,7,8,0.8201970443349754,0.16397167487684727,0.7849319810563375
kmeans,concat_rawds,7,9,0.7616995073891626,0.1550369458128079,0.7179752517817842
kmeans,concat_rawds,7,10,0.6951970443349754,0.1484051724137931,0.6420798415028308
kmeans,concat_rawds,8,9,0.9045566502463054,0.15299261083743843,0.8873169809674746
kmeans,concat_rawds,8,10,0.7124384236453202,0.14661330049261084,0.6630348509993507
kmeans,concat_rawds,9,10,0.7623152709359606,0.14326354679802952,0.7225696091537654
kmeans,concat_bands5z,6,7,0.8571428571428571,0.18770935960591134,0.8241305072925196
kmeans,concat_bands5z,6,8,0.7512315270935961,0.17440270935960595,0.6986806089038389
kmeans,concat_bands5z,6,9,0.6902709359605911,0.157506157635468,0.6323663765065303
kmeans,concat_bands5z,6,10,0.6194581280788177,0.1476477832512315,0.5535391772984063
kmeans,concat_bands5z,7,8,0.7869458128078818,0.16932881773399017,0.7435156151548173
kmeans,concat_bands5z,7,9,0.7327586206896551,0.15442733990147783,0.6839521995907399
kmeans,concat_bands5z,7,10,0.6299261083743842,0.1467179802955665,0.5662935781140627
kmeans,concat_bands5z,8,9,0.7900246305418719,0.15100985221674879,0.7526763178508225
kmeans,concat_bands5z,8,10,0.7586206896551724,0.1438485221674877,0.7180647156553197
kmeans,concat_bands5z,9,10,0.7733990147783252,0.14126231527093594,0.7361231616460753
hierarchical,concat_hg,6,7,0.9273399014778325,0.1955972906403941,0.9096719868335439
hierarchical,concat_hg,6,8,0.8405172413793104,0.1780049261083744,0.8059808827495281
hierarchical,concat_hg,6,9,0.8097290640394089,0.17386083743842368,0.7696865799575149
hierarchical,concat_hg,6,10,0.7456896551724138,0.16338669950738918,0.6960240236703812
hierarchical,concat_hg,7,8,0.9131773399014779,0.1750800492610837,0.8947501996760396
hierarchical,concat_hg,7,9,0.8823891625615764,0.16988300492610833,0.8583201667519713
hierarchical,concat_hg,7,10,0.8183497536945813,0.16080665024630544,0.7835418424624867
hierarchical,concat_hg,8,9,0.9692118226600985,0.16336206896551725,0.9632001177596232
hierarchical,concat_hg,8,10,0.9051724137931034,0.155942118226601,0.8876527448477111
hierarchical,concat_hg,9,10,0.9359605911330049,0.15549261083743843,0.92416951031003
hierarchical,concat_rawds,6,7,0.9692118226600985,0.20288177339901478,0.961375645026728
hierarchical,concat_rawds,6,8,0.8823891625615764,0.1879926108374384,0.8551603852278759
hierarchical,concat_rawds,6,9,0.7592364532019704,0.16244458128078818,0.7125401598306118
hierarchical,concat_rawds,6,10,0.7229064039408867,0.16011699507389163,0.6700807202504454
hierarchical,concat_rawds,7,8,0.9131773399014779,0.18488916256157634,0.893483614607098
hierarchical,concat_rawds,7,9,0.7900246305418719,0.16216748768472905,0.7493826434619003
hierarchical,concat_rawds,7,10,0.7536945812807881,0.15761083743842363,0.7076108885705096
hierarchical,concat_rawds,8,9,0.8768472906403941,0.15814039408866998,0.8537134832282509
hierarchical,concat_rawds,8,10,0.8208128078817734,0.1541194581280788,0.7881648965210998
