,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,19.0,5.0,14.0,21.0,10.0,7.0,42.0,34.0
s1_c1,22.0,10.0,210.0,1.0,54.0,42.0,46.0,43.0
s1_c2,8.0,3.0,52.0,11.0,13.0,17.0,5.0,27.0
s1_c3,23.0,5.0,4.0,3.0,39.0,28.0,21.0,52.0
s1_c4,7.0,101.0,21.0,12.0,4.0,2.0,22.0,33.0
s1_c5,72.0,1.0,8.0,4.0,25.0,20.0,11.0,27.0
s1_c6,7.0,1.0,14.0,142.0,7.0,5.0,13.0,34.0
s1_c7,13.0,5.0,12.0,19.0,12.0,88.0,23.0,24.0
