,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8
s1_c0,0.0,74.0,27.0,2.0,15.0,26.0,10.0,35.0,4.0
s1_c1,0.0,0.0,1.0,84.0,0.0,2.0,1.0,2.0,0.0
s1_c2,1.0,5.0,18.0,1.0,27.0,5.0,4.0,30.0,52.0
s1_c3,25.0,16.0,82.0,3.0,5.0,14.0,4.0,25.0,7.0
s1_c4,1.0,6.0,15.0,0.0,29.0,2.0,77.0,21.0,14.0
s1_c5,120.0,4.0,28.0,29.0,50.0,96.0,2.0,49.0,5.0
s1_c6,1.0,97.0,1.0,10.0,7.0,3.0,1.0,14.0,1.0
s1_c7,11.0,5.0,22.0,2.0,56.0,18.0,9.0,19.0,40.0
s1_c8,2.0,60.0,14.0,4.0,25.0,7.0,0.0,21.0,19.0
