cluster,reference_cluster,jaccard,block_position
0,3,0.547,2
1,2,0.1448,3
2,0,0.2586,6
3,4,0.1967,1
4,7,0.3036,5
5,1,0.3432,0
6,6,0.0246,4
7,5,0.1151,7
