,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8
s1_c0,7.0,73.0,25.0,10.0,48.0,12.0,13.0,1.0,4.0
s1_c1,1.0,0.0,0.0,1.0,1.0,1.0,2.0,84.0,0.0
s1_c2,18.0,5.0,27.0,21.0,45.0,7.0,13.0,0.0,7.0
s1_c3,27.0,15.0,4.0,4.0,32.0,12.0,9.0,3.0,75.0
s1_c4,5.0,3.0,26.0,12.0,24.0,2.0,86.0,2.0,5.0
s1_c5,135.0,4.0,32.0,41.0,43.0,71.0,24.0,27.0,6.0
s1_c6,2.0,100.0,8.0,4.0,11.0,0.0,3.0,7.0,0.0
s1_c7,29.0,4.0,64.0,15.0,31.0,16.0,11.0,4.0,8.0
s1_c8,18.0,66.0,19.0,12.0,24.0,1.0,8.0,2.0,2.0
