,t00,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29
audio,0.017404199160441218,0.35325362328469156,0.12898603356431776,-0.004688176605368537,-0.04728821681266726,-0.007736464352452226,-0.061730754114516874,-0.09216529572145381,-0.1333734651943379,-0.0572585273333767,-0.0468185331394756,-0.10332930623809768,-0.15950669072235427,0.039486359482352594,0.0957808028387691,0.2286099500804109,0.22004590162298057,0.2119583327369846,0.11134521859968953,0.2062865733202664,0.14056428830325277,0.01576739491332457,-0.03698531746805903,-0.08513299491361052,-0.16176605101832495,-0.21737274928140923,-0.10914193492156501,-0.05697870497315908,-0.04936218776303459,-0.08292261172390099
picture,-0.1537572925452313,-0.24672232256309765,-0.02269467454498342,0.14084366639233817,0.089012342366824,0.05313520459233327,0.10578623831178013,0.2119582993727688,0.19176664807386326,0.20681974266823766,0.19559169336598406,0.21292614540625449,0.2596943284394899,0.17813335412321238,0.16521259003949343,0.08664435263049293,0.1344742626495122,0.16783436880089903,0.22058509923832015,0.11499015671449409,0.13572608125899563,0.2189546595603068,0.20150497361403488,0.1426673102290274,0.22475019120983847,0.2741356890252656,0.19025689089117961,0.16177419033311688,0.21700431313560428,0.26538865418213503
reading,0.10660205490815501,-0.09259308900761817,-0.08671569257822537,-0.10676949618055552,-0.03155582070280844,-0.035443880425037995,-0.03301968007985996,-0.09170513421664309,-0.042458071688208775,-0.1159600568725824,-0.11560622975105042,-0.08341746944239281,-0.07460574613344587,-0.17184330097494888,-0.20732169594973968,-0.25328854345198826,-0.2838968340761848,-0.3035317981659252,-0.2634053218186161,-0.2574501497376825,-0.22046656712999174,-0.18466775505186678,-0.1282174055833654,-0.043007544061557615,-0.045341948549081044,-0.03904743168630293,-0.06091041034262183,-0.08082396528326471,-0.1303547238338764,-0.14114085893549763
