cluster_id,size,jaccard_stability,n_runs
0,385,0.5100187659263611,50
1,65,0.6062025427818298,50
2,129,0.9228901863098145,50
3,85,0.8819771409034729,50
4,74,0.6642863750457764,50
5,147,0.8310371041297913,50
6,179,0.42886286973953247,50
7,72,0.9363571405410767,50
8,557,0.47161564230918884,50
