cluster_id,n_total,n_with_coords,n_missing,distance_mm,centroid_x,centroid_y,centroid_z,spread_x,spread_y,spread_z,metric,mirror_to
0,173,32,141,39.81334639733917,-42.075380742549896,-9.879158287774771,-17.386233538389206,10.89048264164428,18.610671178381963,26.16834226017867,mean_pairwise,left
1,142,97,45,66.59639440687175,-35.647814217301985,-5.480424232089643,-2.9474790120862195,13.941799519877257,47.13270174357477,20.819470262322202,mean_pairwise,left
2,135,23,112,45.94629681300273,-54.362274957739785,-24.51018466120181,-9.159733710081682,12.432507476221001,23.527952140328225,27.518333768337712,mean_pairwise,left
3,66,23,43,36.503242418946435,-47.652675296949305,-40.93522859656292,2.3064161820904068,11.804219193830512,27.393805747644123,11.08506972962649,mean_pairwise,left
4,81,73,8,39.50208408032051,-42.68147265421201,6.251771999548559,15.403926903866742,11.405461369079436,24.82294689840932,15.308266077594833,mean_pairwise,left
5,424,193,231,51.86286289518452,-38.57095773479482,-10.769684218951149,-2.436203042460229,13.571859814186993,27.50679608191371,27.12497138779706,mean_pairwise,left
6,167,100,67,51.44191869047326,-43.18657691955566,-16.22610539305955,-6.224967018961906,16.340312946456155,20.894157415670634,31.47193083988967,mean_pairwise,left
7,358,187,171,53.80477710984474,-41.124543294549625,-15.083870581764588,6.280184748975988,14.248616514984443,28.677257232150758,26.891831954061576,mean_pairwise,left
8,166,55,111,37.42308029955517,-43.716402176835324,-15.065163612365723,15.30581073327498,15.508618228399886,14.602038893686483,21.107656280063882,mean_pairwise,left
9,356,233,123,58.63116512970779,-44.11866857322501,-15.085737087184267,5.446296873458465,16.90073753049869,29.972418985165255,28.851644744851463,mean_pairwise,left
10,34,7,27,36.06333799884711,-54.55118070329939,-7.001034413065229,-17.809763976505824,12.486153528033812,17.480828544260106,13.58586957592635,mean_pairwise,left
