sample_idx,patient_id,condition,task,electrode,file_path,cluster_kmeans_hg,silhouette
21,EL030,audio,LM,A_R1,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_R1_TN.npy,6,0.014341856
22,EL030,audio,LM,A_R2,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_R2_TN.npy,6,0.120297045
23,EL030,audio,LM,A_R3,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_R3_TN.npy,6,0.16288726
24,EL030,audio,LM,A_R4,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_R4_TN.npy,6,0.1534229
25,EL030,audio,LM,A_R5,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_R5_TN.npy,6,0.13548946
26,EL030,audio,LM,A_R6,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_R6_TN.npy,6,0.19739322
27,EL030,audio,LM,A_R8,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_R8_TN.npy,6,0.05998206
28,EL030,audio,LM,A_R9,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_R9_TN.npy,6,0.11857387
29,EL030,audio,LM,aH_L10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L10_TN.npy,3,-0.12555419
30,EL030,audio,LM,aH_L11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L11_TN.npy,3,0.122581385
31,EL030,audio,LM,aH_L12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L12_TN.npy,3,0.08689984
32,EL030,audio,LM,aH_L1,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L1_TN.npy,1,0.15060283
33,EL030,audio,LM,aH_L2,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L2_TN.npy,1,0.13739878
34,EL030,audio,LM,aH_L3,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L3_TN.npy,9,0.0767417
35,EL030,audio,LM,aH_L4,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L4_TN.npy,9,0.0147832995
36,EL030,audio,LM,aH_L5,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L5_TN.npy,4,0.032545067
37,EL030,audio,LM,aH_L6,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L6_TN.npy,3,-0.05194239
38,EL030,audio,LM,aH_L7,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L7_TN.npy,3,0.023253601
39,EL030,audio,LM,aH_L8,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L8_TN.npy,9,0.1634135
40,EL030,audio,LM,aH_L9,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L9_TN.npy,9,0.17014095
41,EL030,audio,LM,aH_R10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R10_TN.npy,6,0.13049296
42,EL030,audio,LM,aH_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R11_TN.npy,6,0.16940361
43,EL030,audio,LM,aH_R12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R12_TN.npy,6,0.14767651
44,EL030,audio,LM,aH_R13,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R13_TN.npy,9,0.08230037
45,EL030,audio,LM,aH_R14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R14_TN.npy,5,0.14996657
46,EL030,audio,LM,aH_R15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R15_TN.npy,5,0.1373
47,EL030,audio,LM,aH_R1,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R1_TN.npy,6,0.11887697
48,EL030,audio,LM,aH_R2,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R2_TN.npy,6,0.14905767
49,EL030,audio,LM,aH_R3,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R3_TN.npy,1,0.027904512
50,EL030,audio,LM,aH_R4,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R4_TN.npy,1,0.050843854
51,EL030,audio,LM,aH_R5,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R5_TN.npy,6,-0.0152897155
52,EL030,audio,LM,aH_R6,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R6_TN.npy,6,0.13069542
53,EL030,audio,LM,aH_R7,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R7_TN.npy,6,0.12548251
54,EL030,audio,LM,EntG_R10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R10_TN.npy,9,0.015502813
55,EL030,audio,LM,EntG_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R11_TN.npy,9,0.0031149038
56,EL030,audio,LM,EntG_R12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R12_TN.npy,2,-0.03710839
57,EL030,audio,LM,EntG_R13,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R13_TN.npy,2,0.12151998
58,EL030,audio,LM,EntG_R14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R14_TN.npy,5,0.062934965
59,EL030,audio,LM,EntG_R15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R15_TN.npy,5,0.19859311
60,EL030,audio,LM,EntG_R16,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R16_TN.npy,5,0.230679
61,EL030,audio,LM,EntG_R17,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R17_TN.npy,5,0.21618801
62,EL030,audio,LM,EntG_R1,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R1_TN.npy,6,0.12380509
63,EL030,audio,LM,EntG_R2,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R2_TN.npy,6,0.029905293
64,EL030,audio,LM,EntG_R3,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R3_TN.npy,6,0.1253206
65,EL030,audio,LM,EntG_R4,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R4_TN.npy,6,0.17995875
66,EL030,audio,LM,EntG_R5,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R5_TN.npy,6,0.06400965
67,EL030,audio,LM,EntG_R6,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R6_TN.npy,6,0.13860175
68,EL030,audio,LM,EntG_R7,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R7_TN.npy,1,0.0974391
69,EL030,audio,LM,EntG_R8,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R8_TN.npy,1,0.073541
70,EL030,audio,LM,EntG_R9,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R9_TN.npy,6,0.1544026
71,EL030,audio,LM,pH_R10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pH_R10_TN.npy,5,0.08993268
72,EL030,audio,LM,pH_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pH_R11_TN.npy,5,0.20990805
73,EL030,audio,LM,pH_R12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pH_R12_TN.npy,5,0.19226162
74,EL030,audio,LM,pH_R1,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pH_R1_TN.npy,1,0.061866615
75,EL030,audio,LM,pH_R2,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pH_R2_TN.npy,6,0.112869546
76,EL030,audio,LM,pH_R3,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pH_R3_TN.npy,6,0.0106805
77,EL030,audio,LM,pH_R4,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pH_R4_TN.npy,6,0.05213481
78,EL030,audio,LM,pH_R6,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pH_R6_TN.npy,1,0.026265692
79,EL030,audio,LM,pH_R7,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pH_R7_TN.npy,6,0.15080638
80,EL030,audio,LM,pH_R8,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pH_R8_TN.npy,6,0.16263334
81,EL030,audio,LM,pH_R9,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pH_R9_TN.npy,2,0.04477311
82,EL030,audio,LM,pHG_R10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R10_TN.npy,6,0.1348938
83,EL030,audio,LM,pHG_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R11_TN.npy,9,-0.046868112
84,EL030,audio,LM,pHG_R12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R12_TN.npy,5,0.024696235
85,EL030,audio,LM,pHG_R13,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R13_TN.npy,5,0.10483782
86,EL030,audio,LM,pHG_R14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R14_TN.npy,5,0.09177549
87,EL030,audio,LM,pHG_R15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R15_TN.npy,5,0.064085804
88,EL030,audio,LM,pHG_R1,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R1_TN.npy,1,0.17041224
89,EL030,audio,LM,pHG_R2,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R2_TN.npy,1,0.11630541
90,EL030,audio,LM,pHG_R3,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R3_TN.npy,1,0.09700687
91,EL030,audio,LM,pHG_R4,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R4_TN.npy,1,0.046939556
92,EL030,audio,LM,pHG_R6,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R6_TN.npy,1,0.071244866
93,EL030,audio,LM,pHG_R7,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R7_TN.npy,1,0.08018954
94,EL030,audio,LM,pHG_R8,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R8_TN.npy,6,0.19293703
95,EL030,audio,LM,pHG_R9,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R9_TN.npy,6,0.20113014
96,EL030,picture,LM,A_L10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L10_TN.npy,3,-0.01708926
97,EL030,picture,LM,A_L11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L11_TN.npy,3,-0.044417813
98,EL030,picture,LM,A_L12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L12_TN.npy,3,0.1063574
99,EL030,picture,LM,A_L13,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L13_TN.npy,3,0.21086212
100,EL030,picture,LM,A_L14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L14_TN.npy,3,0.22455263
101,EL030,picture,LM,A_L15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L15_TN.npy,3,0.21523097
102,EL030,picture,LM,A_L1,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L1_TN.npy,4,0.13020736
103,EL030,picture,LM,A_L2,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L2_TN.npy,4,0.13701567
104,EL030,picture,LM,A_L3,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L3_TN.npy,4,0.21869472
105,EL030,picture,LM,A_L4,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L4_TN.npy,4,0.1966191
106,EL030,picture,LM,A_L5,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L5_TN.npy,4,0.21135207
107,EL030,picture,LM,A_L6,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L6_TN.npy,3,-0.179939
108,EL030,picture,LM,A_L7,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L7_TN.npy,3,-0.048991375
109,EL030,picture,LM,A_L8,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L8_TN.npy,3,-0.0073241484
110,EL030,picture,LM,A_L9,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L9_TN.npy,3,-0.06712559
111,EL030,picture,LM,A_R10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R10_TN.npy,6,0.05617717
112,EL030,picture,LM,A_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R11_TN.npy,2,-0.07147706
113,EL030,picture,LM,A_R12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R12_TN.npy,6,0.046094853
114,EL030,picture,LM,A_R13,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R13_TN.npy,2,0.084259294
115,EL030,picture,LM,A_R14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R14_TN.npy,2,0.14014533
116,EL030,picture,LM,A_R15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R15_TN.npy,2,0.14065996
117,EL030,picture,LM,A_R1,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R1_TN.npy,1,0.11753409
118,EL030,picture,LM,A_R2,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R2_TN.npy,1,0.10913323
119,EL030,picture,LM,A_R3,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R3_TN.npy,1,0.13784188
120,EL030,picture,LM,A_R4,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R4_TN.npy,1,0.019533904
121,EL030,picture,LM,A_R5,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R5_TN.npy,1,0.14989866
122,EL030,picture,LM,A_R6,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R6_TN.npy,1,0.14100279
123,EL030,picture,LM,A_R8,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R8_TN.npy,1,0.024980469
124,EL030,picture,LM,A_R9,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R9_TN.npy,1,0.0922119
125,EL030,picture,LM,aH_L10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L10_TN.npy,3,-0.03552452
126,EL030,picture,LM,aH_L11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L11_TN.npy,3,0.24793388
127,EL030,picture,LM,aH_L12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L12_TN.npy,3,0.19478634
128,EL030,picture,LM,aH_L1,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L1_TN.npy,1,0.11254546
129,EL030,picture,LM,aH_L2,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L2_TN.npy,4,-0.05678192
130,EL030,picture,LM,aH_L3,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L3_TN.npy,4,0.091756545
131,EL030,picture,LM,aH_L4,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L4_TN.npy,4,0.246642
