,1-4Hz,4-8Hz,8-13Hz,13-20Hz,20-30Hz,30-50Hz,50-70Hz,70-100Hz,100-130Hz,130-170Hz,170-220Hz,220-270Hz,270-320Hz,320-360Hz,360-400Hz
audio,-0.0008664240372397348,0.008079885418411585,0.00779388808996931,-0.012257751663994001,0.0007966651742509349,-0.020136890739810613,-0.015544728059683297,0.006677651069504257,8.125962907655886e-05,-0.0014099726056333037,-0.0028490960985834107,0.005809450349948968,0.009543665457137243,0.002539727980834807,0.0069438006505962765
picture,-0.0036229814539997813,-0.0039171156121161725,-0.0036544746104648232,0.005234802069658695,4.108527888546683e-05,0.00798986338905355,0.002180699921120105,0.0021913627456396226,0.007618871022707165,-0.01067805920133149,0.008499511620093258,-0.002792809667495494,0.0016243458022935494,-0.002652134145978564,0.009440944283778735
reading,0.0044894054912394945,-0.004162769806295404,-0.004139413479504492,0.007022949594335331,-0.000837750453136386,0.012147027350757063,0.013364028138563199,-0.008869013815143854,-0.0077001306517837115,0.0120880318069648,-0.005650415521509864,-0.0030166406824534637,-0.011168011259430748,0.00011240616514377743,-0.016384744934375004
