time_bin,importance
0,0.9740733439606267
1,0.6095126996425849
2,0.5588446698534505
3,0.6745547153035197
4,0.6383287416902285
5,0.4521983275435657
6,0.37299069389488737
7,0.41736714816322146
8,0.3142496417220735
9,0.4762879086455153
10,0.551953803858172
11,0.5313877632555504
12,0.6128605285344966
13,0.5323007896252502
14,0.6184317718907928
15,0.6913825716161563
16,0.5369099375698065
17,0.6798116957619275
18,0.5400163082681101
19,0.758277568542793
20,0.6090252882910333
21,0.5397750600817696
22,0.6474312945201958
23,0.43421518395602493
24,0.5658270788043163
25,0.5812212934808646
26,0.652938344775857
27,0.574906117437652
28,0.5121663343971203
29,0.4926076386592409
