,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
7Networks_1,20,3,5,1,5,3,3
7Networks_2,3,72,6,5,15,7,37
7Networks_3,2,2,9,7,6,14,12
7Networks_4,1,15,15,13,10,7,8
7Networks_5,8,6,6,15,76,19,51
7Networks_6,0,12,17,23,16,19,27
7Networks_7,9,49,20,32,72,29,146
