condition,band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,perm_importance,perm_importance_std,importance
audio,-1,70.0,150.0,HG 70-150Hz,0,hg_ds,0.01744315275058262,0.001348384657730517,0.0007584970530341921,0.001348384657730517
audio,-1,70.0,150.0,HG 70-150Hz,1,hg_ds,0.019988671035992257,0.001531355922060207,0.0006181012381562699,0.001531355922060207
audio,-1,70.0,150.0,HG 70-150Hz,2,hg_ds,0.018997537591566537,0.0006303073715674512,0.00044402062558256296,0.0006303073715674512
audio,-1,70.0,150.0,HG 70-150Hz,3,hg_ds,0.016907210040007052,0.000279006630276446,0.00035855912839214787,0.000279006630276446
audio,-1,70.0,150.0,HG 70-150Hz,4,hg_ds,0.01347738797861363,0.0008792467263148418,0.00023864064349688792,0.0008792467263148418
audio,-1,70.0,150.0,HG 70-150Hz,5,hg_ds,0.01614242412217263,0.0010304674355930744,0.0004052702987724946,0.0010304674355930744
audio,-1,70.0,150.0,HG 70-150Hz,6,hg_ds,0.011958485686394047,0.001156042527508261,0.000573615742410937,0.001156042527508261
audio,-1,70.0,150.0,HG 70-150Hz,7,hg_ds,0.009427005904225502,0.001031572850134599,0.0003157063930544712,0.001031572850134599
audio,-1,70.0,150.0,HG 70-150Hz,8,hg_ds,0.011249087639719787,0.0014361545723261759,0.00047596659957223916,0.0014361545723261759
audio,-1,70.0,150.0,HG 70-150Hz,9,hg_ds,0.009066248528301908,0.0016674072944094843,0.0004939684862520201,0.0016674072944094843
audio,-1,70.0,150.0,HG 70-150Hz,10,hg_ds,0.010763120598977596,0.0007103393843725825,0.00034657741120504575,0.0007103393843725825
audio,-1,70.0,150.0,HG 70-150Hz,11,hg_ds,0.011753765447929875,0.0011971639484523288,0.0006411322387071159,0.0011971639484523288
audio,-1,70.0,150.0,HG 70-150Hz,12,hg_ds,0.011309536093071266,0.0016740397816585762,0.0006355637984136355,0.0016740397816585762
audio,-1,70.0,150.0,HG 70-150Hz,13,hg_ds,0.009610585420054043,0.0002378852093323669,0.00031626634474510534,0.0002378852093323669
audio,-1,70.0,150.0,HG 70-150Hz,14,hg_ds,0.008999696273580061,0.0009948730873565181,0.0004051961801799312,0.0009948730873565181
