k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_singletons,min_size,max_size,size_cv
4,0.1123851016163826,331.1015457120562,2.3210936764038186,4,0,248,1696,0.795296196286651
5,0.06813725084066391,290.2138274324049,2.419524547377134,5,0,161,1086,0.6742265381048376
6,0.06936798989772797,259.9923665281358,2.336450427876439,6,0,118,1171,0.8030029309719875
7,0.07145533710718155,237.2276936247735,2.261020377596038,7,0,64,1140,0.9028106096220568
8,0.07074777781963348,221.88002344658233,2.1666502759596495,8,0,53,1068,0.9776417636913362
9,0.061526618897914886,206.83660913042888,2.2405260899184674,9,0,47,905,0.893013232645036
10,0.05987415090203285,196.01568724188866,2.171958405069921,10,0,13,814,0.9558149901003189
11,0.056906457990407944,184.07633936018766,2.241387988357503,11,0,13,810,0.8927930874646958
12,0.06274750828742981,177.5275788629965,2.2276239019725756,12,0,13,778,0.9363978003455912
13,0.062066808342933655,171.6544828537522,2.19311752198531,13,0,11,771,0.9662076071348416
14,0.0575423538684845,163.3505538226221,2.2174858376657367,14,0,11,716,0.9674858538185762
15,0.056322962045669556,156.4009765512117,2.1506144618150946,15,0,3,624,0.9518812435880121
16,0.06585081666707993,151.33637591015585,2.154036448743221,16,0,11,714,1.0141809572707918
17,0.06116471439599991,146.6606127458435,2.1022834960607555,17,0,3,602,0.9969780062548476
18,0.05851031467318535,140.90695122155785,2.1251368585399297,18,1,1,587,0.998862805927372
19,0.06791923195123672,136.8979667675679,1.9764981729066071,19,0,3,672,1.1400279341836232
20,0.062317609786987305,132.96796923396326,2.0690099315288917,20,1,1,558,0.9909886926114146
21,0.06430032104253769,129.49377308985763,2.001042437724854,21,1,1,503,1.0707211890350048
22,0.06837180256843567,126.02842466741045,2.0350766457450735,22,1,1,658,1.1962396531971788
23,0.06314021348953247,123.1271860800145,2.0583872129222227,23,1,1,511,1.0307116688935523
