k,mean_jaccard,min_jaccard,max_jaccard,n_runs,subsample_frac,estimator
5,0.6112381815910339,0.4586431384086609,0.8432931900024414,50,0.8,kmeans
6,0.646377777059873,0.4306891858577728,1.0,50,0.8,kmeans
7,0.6140833369323185,0.32664433121681213,1.0,50,0.8,kmeans
8,0.6187121719121933,0.31727543473243713,1.0,50,0.8,kmeans
9,0.594143913851844,0.34518322348594666,1.0,50,0.8,kmeans
10,0.6186309665441513,0.3556843400001526,1.0,50,0.8,kmeans
11,0.6182584491643038,0.33414286375045776,1.0,50,0.8,kmeans
12,0.6025934939583143,0.33877289295196533,1.0,50,0.8,kmeans
