role,n_matched,n_primary
response_active,600,414
stimulus_responsive,222,171
alpha_beta_suppression,57,51
phonological_encoding,49,44
motor,38,38
low_f_negative_network,37,17
auditory,19,19
auditory_suppression,14,13
lexical_semantic,6,6
network_negative_2,3,3
none,0,2080
