,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
7Networks_1,12,6,0,1,13,1,7
7Networks_2,0,72,2,2,14,7,48
7Networks_3,1,1,3,6,12,8,21
7Networks_4,0,3,9,3,19,12,23
7Networks_5,10,12,7,2,52,20,78
7Networks_6,4,5,6,1,37,12,49
7Networks_7,4,45,5,7,61,50,185
