time_bin,importance
0,0.006717291171916185
1,0.021268050153923745
2,0.014832868163089175
3,0.01423356579617271
4,0.012472539049139742
5,0.016506401587033537
6,0.014143457707596252
7,0.009385226839978987
8,0.007289934322829816
9,0.011785907431676146
10,0.013568894377772745
11,0.00675460545677653
12,0.011464933679594924
13,0.011600226858268115
14,0.006021198322445443
15,0.011106886326726507
16,0.008981690332195447
17,0.0045260540062373456
18,0.007753226069663787
19,0.007387543442668465
20,0.011753566054740004
21,0.010847673235168599
22,0.007511454502549664
23,0.009630550823657814
24,0.008951377181215381
25,0.012306488068476552
26,0.011361508985364454
27,0.011293651116993198
28,0.009494475671182834
29,0.011614616947850022
