cluster_id,size,jaccard_stability,n_runs
0,84,0.4967641830444336,50
1,34,0.846773624420166,50
2,67,0.7527634501457214,50
3,60,0.44487008452415466,50
4,97,0.7924613952636719,50
5,27,0.6845013499259949,50
6,222,0.5888622403144836,50
7,37,0.48069071769714355,50
8,63,0.6526677012443542,50
9,41,0.9695122241973877,50
10,298,0.35094568133354187,50
11,119,0.9293746948242188,50
12,5,0.8079999685287476,50
13,107,0.993270993232727,50
14,36,0.5386666655540466,50
15,81,0.41403084993362427,50
16,65,0.34616348147392273,50
17,58,0.5115910768508911,50
18,23,0.7981818318367004,50
19,14,0.47582411766052246,50
