band_idx,band_lo,band_hi,band,time_bin,kind,coef[audio],coef[picture],coef[reading],importance
-1,70.0,150.0,HG 70-150Hz,0,hg,-0.0812777475119538,0.004257111878595489,0.07702063563335831,0.054185165007969195
-1,70.0,150.0,HG 70-150Hz,1,hg,-0.12250915850309342,-0.010838691103990107,0.1333478496070832,0.08889856640472225
-1,70.0,150.0,HG 70-150Hz,2,hg,-0.04037867192689897,0.02898155627836595,0.011397115648533131,0.026919114617932685
-1,70.0,150.0,HG 70-150Hz,3,hg,-0.1450064174267306,0.12289122257052937,0.022115194856201024,0.09667094495115365
-1,70.0,150.0,HG 70-150Hz,4,hg,0.010575606159268381,0.12356408472097641,-0.1341396908802445,0.08942646058682975
-1,70.0,150.0,HG 70-150Hz,5,hg,0.0002968254552048253,0.02031220213649129,-0.020609027591696073,0.013739351727797396
-1,70.0,150.0,HG 70-150Hz,6,hg,-0.08475045558793698,-0.09481725241149982,0.1795677079994368,0.11971180533295787
-1,70.0,150.0,HG 70-150Hz,7,hg,-0.19182478807455222,-0.15945038543184573,0.3512751735063981,0.23418344900426535
-1,70.0,150.0,HG 70-150Hz,8,hg,-0.0916173431323207,-0.2177911571678957,0.30940850030021627,0.20627233353347754
-1,70.0,150.0,HG 70-150Hz,9,hg,0.11889790004577344,-0.21514100089681717,0.09624310085104384,0.14342733393121146
-1,70.0,150.0,HG 70-150Hz,10,hg,0.23184743498412377,-0.1644788576550691,-0.06736857732905463,0.1545649566560825
-1,70.0,150.0,HG 70-150Hz,11,hg,0.2532726705558428,-0.13377494848608706,-0.11949772206975508,0.16884844703722832
-1,70.0,150.0,HG 70-150Hz,12,hg,0.1598341979495379,-0.09787969640769852,-0.06195450154183961,0.10655613196635867
-1,70.0,150.0,HG 70-150Hz,13,hg,0.1199483011271396,-0.07574453520758267,-0.044203765919557096,0.0799655340847598
-1,70.0,150.0,HG 70-150Hz,14,hg,0.079558276840863,-0.11696476419636631,0.03740648735550328,0.0779765094642442
-1,70.0,150.0,HG 70-150Hz,15,hg,0.15120636049087807,-0.16206063734068774,0.010854276849809595,0.1080404248937918
-1,70.0,150.0,HG 70-150Hz,16,hg,0.05919131836701722,-0.07853172774093173,0.01934040937391446,0.052354485160621134
