role,n_matched,n_primary
tag_hga_activation,712,675
tag_theta_tracking,672,446
response_active,600,0
tag_low_f_erd,336,139
tag_beta_erd,297,209
ultra_hfa,282,23
stimulus_responsive,222,0
auditory,103,13
visual_picture,64,1
phonological_encoding,49,0
motor,38,38
visual_reading,35,0
picture_stim,11,1
pre_response,11,0
maintenance,8,0
NN,6,0
heteromodal_convergence,6,0
lexical_semantic,6,0
deactivation,3,3
none,0,1308
