channel,0.5-4.0Hz_dB,4.0-8.0Hz_dB,8.0-12.0Hz_dB,12.0-30.0Hz_dB,30.0-70.0Hz_dB,70.0-150.0Hz_dB
FOD1,24.563274630747266,17.09593825692778,13.172611142553876,6.476007244394706,-3.6910658035127755,-12.117697643770969
FOD2,24.024527722094174,17.52610486359425,13.45825680302621,6.564904755736407,-3.757199413314349,-12.102766891853367
FOD3,24.17517374884074,17.81441627882103,13.535009528825483,6.719936998985222,-3.5267321309887953,-12.090662442023987
FOD4,26.24320236178865,19.484998448638716,14.36850975814081,8.03831099908471,-2.1018927641962954,-11.112293590378687
FOD5,25.153606115404667,19.575438608359242,14.252087960929792,7.7640627334603085,-2.45966229742573,-11.247576279468621
FOD6,25.789526545169895,19.99919734312147,14.309126790872233,7.549328407164172,-2.6281535936667244,-10.976798178358097
FPD1,24.518111854584646,17.917213442153425,13.441190282432462,6.893999960406505,-2.81877235175747,-11.68417354885938
FPD2,24.320826632035043,17.2318607686036,12.953104588417716,6.473180033666257,-3.3108213121510204,-12.149278466344148
FPD3,23.749751753499385,16.40809511325736,12.557023777609693,6.1976583091552975,-3.556342043821991,-12.33822582703999
FPD4,22.425680916916686,15.281966869369985,11.498838271231453,5.639365051971615,-2.9054737045638523,-11.792892982144547
FPD5,21.955077331569157,14.182643881345587,10.559487293302093,4.310897686514018,-5.0292048806395995,-13.119191549617051
FPD6,32.55801734799248,23.230668984146327,18.783172474697064,15.967028987133602,15.166004147732519,11.4730551927488
FPD7,23.23748631796425,17.926854840878242,12.854986029277807,5.985798537665274,-3.4300341204350637,-12.256639807925
FPD8,25.00712312699564,19.999384725232943,13.805993422749275,6.308735710372564,-3.824820849285362,-12.54715964863777
FPD9,25.72783765198392,19.088593168936647,13.358924488761385,6.117540739095587,-4.016997608645964,-12.478882552967448
FPD10,25.418391836912946,18.200569760895817,13.036479100393132,6.039004615379541,-3.8541031463803193,-12.455243461951758
TPD1,29.78292122024164,25.137068648692875,16.25534932025082,8.42706067787956,0.9938043465080636,-7.435425850337526
