condition,cluster,n,ref,window,peak_lag_pct,peak_r,ci_lo_pct,ci_hi_pct,ci_width_pct,at_edge,p_shuffle,interpretable,reason
audio,0,11,1,response,-14.666666666666666,0.7637805959575144,-20.0,-11.0,9.0,False,0.005,True,ok
audio,2,285,1,response,-4.0,0.7881055363452915,-10.674999999999999,-1.3333333333333335,9.341666666666667,False,0.01,True,ok
audio,3,103,1,response,-6.333333333333334,0.9452117354680761,-8.333333333333332,-4.0,4.333333333333334,False,0.005,True,ok
audio,4,63,1,response,-5.0,0.8172376639700809,-6.0,-1.0,5.0,False,0.03,True,ok
audio,5,323,1,response,-12.333333333333334,0.9062330412723754,-14.333333333333334,-10.333333333333334,4.0,False,0.0,True,ok
audio,6,58,1,response,16.333333333333332,0.872116379311045,13.333333333333334,20.0,6.666666666666667,False,0.0,True,ok
audio,7,60,1,response,-13.333333333333334,0.4881458565957439,-20.0,-12.666666666666668,7.333333333333333,False,0.0,True,ok
audio,8,50,1,response,-15.0,0.8396790785125909,-16.008333333333333,-11.991666666666674,4.016666666666659,False,0.0,True,ok
audio,9,44,1,response,-5.666666666666666,0.9265008327696016,-8.333333333333332,-2.666666666666667,5.666666666666666,False,0.005,True,ok
picture,0,11,1,response,-20.0,0.5424515581381538,-20.0,-11.908333333333417,8.091666666666583,True,0.005,False,lag censored at search edge
picture,2,285,1,response,-3.3333333333333335,0.9285823795330471,-4.0,-1.6666666666666667,2.3333333333333335,False,0.035,True,ok
picture,3,103,1,response,-2.0,0.9670305935530179,-3.6666666666666665,0.33333333333333337,4.0,False,0.21,True,ok
picture,4,63,1,response,-2.0,0.9051853944051221,-3.3416666666666663,0.33333333333333337,3.675,False,0.225,True,ok
picture,5,323,1,response,-10.666666666666668,0.8982572472092362,-12.666666666666668,-9.333333333333334,3.3333333333333335,False,0.0,True,ok
picture,6,58,1,response,3.6666666666666665,0.9468352634379668,0.9916666666666671,5.666666666666666,4.674999999999999,False,0.03,True,ok
picture,7,60,1,response,-17.333333333333336,0.6837173230208721,-20.0,-16.666666666666664,3.3333333333333335,False,0.0,True,ok
picture,8,50,1,response,-12.0,0.9363152088097771,-13.674999999999999,-10.666666666666668,3.008333333333333,False,0.0,True,ok
picture,9,44,1,response,-6.333333333333334,0.9702948148913646,-8.0,-3.6666666666666665,4.333333333333334,False,0.01,True,ok
reading,0,11,1,response,-18.333333333333332,0.6619752686561031,-20.0,5.033333333333303,25.033333333333303,False,0.0,False,CI too wide
reading,2,285,1,response,-3.3333333333333335,0.9695339420191622,-5.0,-1.9916666666666742,3.0083333333333258,False,0.005,True,ok
reading,3,103,1,response,-6.666666666666667,0.9862171378704804,-8.666666666666668,-5.658333333333341,3.0083333333333258,False,0.0,True,ok
reading,4,63,1,response,-1.3333333333333335,0.821874009752633,-2.3333333333333335,2.3333333333333335,4.666666666666667,False,0.25,True,ok
reading,5,323,1,response,-8.333333333333332,0.9181745947342491,-10.333333333333334,-7.000000000000001,3.3333333333333335,False,0.0,True,ok
reading,6,58,1,response,8.0,0.9763792680104952,6.0,8.666666666666668,2.666666666666667,False,0.0,True,ok
reading,7,60,1,response,-1.0,0.7698906986514171,-3.6666666666666665,0.6749999999999925,4.341666666666659,False,0.435,True,ok
reading,8,50,1,response,-11.333333333333332,0.9606372008948652,-13.666666666666666,-10.0,3.6666666666666665,False,0.0,True,ok
reading,9,44,1,response,-6.0,0.9813177332658445,-7.666666666666666,-3.6666666666666665,4.0,False,0.0,True,ok
