a,a_label,b,b_label,ari,nmi
kmeans,k-means,hierarchical,Ward,0.49029339268786204,0.6244676907948516
kmeans,k-means,cnmf,convex NMF,0.5039051810851441,0.6160897170930058
hierarchical,Ward,cnmf,convex NMF,0.4069754173948732,0.5347664824044436
