k,var_explained,sizes,frac_dominant,frac_no_majority,median_top_weight
5,0.45862817048261884,345 261 287 428 367,0.375,0.625,0.45053584575833583
6,0.4849646331862988,194 270 351 343 274 256,0.2541469194312796,0.7458530805687204,0.4124947279906468
7,0.5043019465080882,241 264 186 340 198 194 265,0.2334123222748815,0.7665876777251185,0.3909806325562182
8,0.5207929534362556,126 172 251 253 200 174 185 327,0.1735781990521327,0.8264218009478673,0.3642138388019508
9,0.5191103590586106,239 162 312 167 251 186 82 165 124,0.18305687203791468,0.8169431279620853,0.35392232547863534
10,0.5246081495972519,237 155 308 156 245 176 80 141 106 84,0.14751184834123224,0.8524881516587678,0.3423807737726181
11,0.5231390387679973,223 147 295 171 201 150 76 149 108 64 104,0.12677725118483413,0.8732227488151659,0.3336631099741698
12,0.5244364107429395,130 87 229 217 138 258 69 138 91 97 77 157,0.09419431279620853,0.9058056872037915,0.3215045202633109
13,0.5034672145261945,106 188 127 199 128 97 97 77 142 247 90 126 64,0.0811611374407583,0.9188388625592417,0.3210897201528622
14,0.49197700603360406,222 99 87 90 196 120 75 131 100 54 90 107 181 136,0.09834123222748815,0.9016587677725119,0.30924760711404775
15,0.45620290461071933,140 91 89 95 80 75 195 149 93 101 55 147 119 86 173,0.08175355450236967,0.9182464454976303,0.31190047876666993
16,0.41924439986722606,79 137 103 123 137 98 112 119 93 67 74 111 96 53 198 88,0.08649289099526067,0.9135071090047393,0.3102979574579937
17,0.37805892324669965,100 109 120 116 75 126 187 99 84 73 85 97 103 56 108 53 97,0.07997630331753554,0.9200236966824644,0.31905394497315587
18,0.3452815702116332,93 116 111 123 72 92 135 96 50 83 50 151 80 86 108 93 75 74,0.10011848341232228,0.8998815165876777,0.310757651873855
19,0.2902261817854974,77 90 95 119 48 79 83 80 95 148 74 96 112 52 71 89 71 97 112,0.09597156398104266,0.9040284360189573,0.3132509267435091
20,0.2613313621750435,88 92 115 87 127 64 80 121 72 125 50 92 74 92 38 89 98 46 72 66,0.08234597156398105,0.917654028436019,0.31088951154572647
21,0.21798261067768443,74 75 49 92 78 73 68 123 92 122 50 82 82 48 40 112 83 79 113 57 96,0.08590047393364929,0.9140995260663507,0.3042747448174444
22,0.17258275237291665,59 102 92 91 94 43 78 82 65 108 69 118 68 104 44 58 63 69 72 74 84 51,0.07464454976303317,0.9253554502369669,0.310160989097854
23,0.11861525712257981,67 74 73 102 35 48 85 75 91 83 45 70 51 92 91 75 63 108 72 74 83 57 74,0.08234597156398105,0.917654028436019,0.30910310846671174
24,0.0450591086383767,97 56 65 68 121 93 81 68 49 48 96 96 73 33 134 74 46 76 44 71 64 49 44 42,0.07582938388625593,0.9241706161137441,0.3108937812802432
25,0.010949373679279728,67 53 63 119 108 51 73 74 51 67 42 70 59 40 83 60 98 93 75 80 43 50 43 45 81,0.0835308056872038,0.9164691943127962,0.3118023558329356
26,-0.046841870274515474,38 29 56 31 70 70 70 33 52 64 98 97 94 52 76 123 66 71 79 49 86 103 43 67 29 42,0.08708530805687204,0.9129146919431279,0.3004387824493115
27,-0.11913554476508281,67 70 71 76 31 44 52 50 77 78 83 80 71 42 82 44 92 61 51 52 62 82 44 53 70 40 63,0.08590047393364929,0.9140995260663507,0.3104094989130492
28,-0.19154284285236423,42 48 47 39 40 74 60 65 65 78 81 49 36 66 35 71 59 35 50 75 51 76 78 60 73 45 92 98,0.07760663507109004,0.92239336492891,0.3062491914678386
29,-0.21867265385034163,53 82 43 32 53 42 57 82 38 73 32 66 40 22 78 49 81 73 50 75 43 76 42 37 55 72 56 91 95,0.06575829383886256,0.9342417061611374,0.3026622023848693
30,-0.36246782853012904,58 36 66 65 70 50 58 34 58 43 71 46 91 79 66 33 76 46 91 40 40 79 38 45 34 71 41 44 55 64,0.09004739336492891,0.909952606635071,0.3105965548930785
