k,mean_jaccard,min_jaccard,max_jaccard,n_runs,subsample_frac,estimator,n_iter
5,0.49564053416252135,0.4073226749897003,0.575899064540863,50,0.8,kmeans,
6,0.4758510837952296,0.36192646622657776,0.6791688799858093,50,0.8,kmeans,
7,0.46096583349364145,0.33415430784225464,0.6347264647483826,50,0.8,kmeans,
8,0.43309907615184784,0.2778667211532593,0.6473077535629272,50,0.8,kmeans,
9,0.4191812210612827,0.2922268211841583,0.5834426283836365,50,0.8,kmeans,
10,0.4201352417469025,0.26876717805862427,0.6574105024337769,50,0.8,kmeans,
11,0.4462280544367703,0.23632174730300903,0.8081786036491394,50,0.8,kmeans,
12,0.4405476786196232,0.2134779542684555,0.7733159065246582,50,0.8,kmeans,
