role,n_matched,n_primary
tag_low_f_erd,620,284
tag_beta_erd,413,336
tag_theta_tracking,275,192
tag_hga_activation,158,72
auditory,153,140
ultra_hfa,131,70
response_active,122,0
stimulus_active,58,0
NN,32,28
auditory_v2,27,2
motor,27,27
motor_v2,27,27
visual_picture,18,17
pic_stim,12,2
picture_stim,9,5
phonological_encoding,8,4
visual_reading,6,0
deactivation,1,1
heteromodal_convergence,1,0
lexical_semantic,1,1
maintenance,1,0
premotor planning,1,0
none,0,1648
