time_bin,importance
0,0.28768815106643364
1,0.2927002158597862
2,0.28900736819728773
3,0.2780908491135393
4,0.29181315965172433
5,0.28115898583735915
6,0.29284843228521523
7,0.2894008714949905
8,0.293985904797108
9,0.2963572879333695
10,0.2910233441113735
11,0.2981442603390579
12,0.29245750183734043
13,0.2925404782506463
14,0.2883304084865086
15,0.2822046324298387
16,0.27395236513872795
17,0.26580335717455383
18,0.2711362293259577
19,0.266587989450514
20,0.25288650070747437
21,0.23964281836890938
22,0.23734878557841269
23,0.2422584654509899
24,0.2539730148279517
25,0.25730927801510906
26,0.25044179242405273
27,0.24394212159010167
28,0.24212915855837022
29,0.24159288561376535
30,0.24003636954244706
31,0.24186041234419348
32,0.25033582482632066
33,0.255141653543495
34,0.24724899916257342
35,0.2445676561114934
36,0.24532039342509826
37,0.25096753794306265
38,0.2531237390609931
39,0.24396675017489394
40,0.23903593154948483
41,0.22590611780636066
42,0.23040281708900484
43,0.23485020748469035
44,0.2249169096639972
45,0.22610771233066468
46,0.22998694378155812
47,0.235759207578002
48,0.23837337287929788
49,0.23760033894022067
50,0.23805824374480644
51,0.23837909744265462
52,0.2264863518054896
53,0.21458570703611915
54,0.2066494506671123
55,0.22158264568452218
56,0.22939767029120026
57,0.2272716369773276
58,0.226409153755586
59,0.22849127517733162
60,0.226772449392688
61,0.2301965206585172
62,0.21706471790850507
63,0.2168940543019237
64,0.21856699812863392
65,0.22147607263446734
66,0.20968536309252087
67,0.2152891221951617
68,0.2154386743715039
69,0.22179249060987916
70,0.22168059181404803
71,0.2144897523830295
72,0.2255436044226973
73,0.2209115923947437
74,0.21352905397544386
75,0.21140259762199157
76,0.21038407331975847
77,0.20504752960165806
78,0.21404835164096986
79,0.2196240373454438
80,0.2301016285088651
81,0.23868272193105414
82,0.23247195083736621
83,0.21895597133239056
84,0.2168182791638996
85,0.21866849295153953
86,0.22250126052433655
87,0.2121656564635205
88,0.21154273774269605
89,0.20981156171768453
90,0.20711050827589764
91,0.20058414050351203
92,0.20169487247784085
93,0.20532150640124439
94,0.2202968290160305
95,0.2251846150714568
96,0.20604586802060076
97,0.20847387883424567
98,0.20754724879626046
99,0.20589751474799514
100,0.2065119284100073
101,0.2103524629586784
102,0.2149723676604438
103,0.20764812850115638
104,0.19892049524560393
105,0.20933714228323305
106,0.20648935645431207
107,0.2214485724300521
108,0.2060742100793506
109,0.20907116564353667
110,0.2104644197733237
111,0.21248131386983432
112,0.2096059316423526
113,0.2047207936283648
114,0.2162260042873711
115,0.2108657850066067
116,0.21296862637051722
117,0.21051351457300538
118,0.20554503557743609
119,0.2112286941062784
120,0.21248140892642417
121,0.21330195402913235
122,0.21565050605878144
123,0.22069316066010566
124,0.21364426583201285
125,0.21038131133728902
126,0.20657532708090343
127,0.21347552063242572
128,0.2084255987772343
129,0.20628946157589856
130,0.21040013642637723
131,0.21140491306160378
132,0.20492496246072972
133,0.20641867428329516
134,0.20141585211174504
135,0.20543092476869723
136,0.21195719607210614
137,0.20939820322186706
138,0.20741597323469518
139,0.20738252963096498
140,0.20048848421829682
141,0.2037064674486468
142,0.20032288682019322
143,0.21063450279731558
144,0.21778182819569783
145,0.21057836400501764
146,0.20925483545780826
147,0.21535418834230455
148,0.22403268214878938
149,0.2115378836249636
150,0.21952337769433478
151,0.21662493970751012
152,0.21673284886919508
153,0.22030107949970737
154,0.2154907572043597
155,0.22061436066285922
156,0.22538395990902838
157,0.22647344101549022
158,0.22027227069906474
159,0.2179309790842997
160,0.2146720594318028
161,0.21172809047218227
162,0.2172059677832649
163,0.2137721811987775
164,0.20722615064606803
165,0.2108497312474453
166,0.21343359298904163
167,0.2142408159519802
168,0.21314242704917127
169,0.20405111984968197
170,0.20467819890514632
171,0.20378252469820807
172,0.2104337251644776
173,0.2084134315515071
174,0.20685792485203347
175,0.2149028152382026
176,0.2176669566983801
177,0.22060656879903537
178,0.22033345182957462
179,0.21931565982213
180,0.22076970971747922
181,0.22037937168490274
182,0.22214771703305425
183,0.22179921003839276
184,0.2170819736753568
185,0.2136682780428188
186,0.2119747537309214
187,0.20533181009247628
188,0.20087818866164556
189,0.2094586874545413
190,0.20857089021402817
191,0.2011338073932355
192,0.19681065323447405
193,0.19675637935316545
194,0.19891464835591186
195,0.20558997967821097
196,0.19714701664163886
197,0.19817994986555143
198,0.20079238355889
199,0.2049749534546092
200,0.20666227621253092
201,0.19806709942060075
