sample_idx,cluster
0,22
1,22
2,22
3,22
4,22
5,22
6,22
7,22
8,22
9,22
10,22
11,22
12,22
13,17
14,17
15,17
16,22
17,22
18,17
19,17
20,17
21,17
22,17
23,17
24,22
25,22
26,22
27,17
28,17
29,17
30,17
31,17
32,22
33,22
34,22
35,17
36,17
37,17
38,17
39,17
40,22
41,22
42,22
43,17
44,17
45,17
46,12
47,12
48,12
49,12
50,12
51,10
52,10
53,10
54,10
55,10
56,10
57,10
58,4
59,4
60,4
61,24
62,24
63,24
64,24
65,10
66,10
67,10
68,24
69,24
70,24
71,24
72,24
73,24
74,24
75,24
76,24
77,24
78,24
79,24
80,24
81,24
82,24
83,24
84,24
85,24
86,24
87,24
88,24
89,24
90,19
91,19
92,19
93,24
94,24
95,24
96,24
97,24
98,7
99,7
100,7
101,7
102,7
103,19
104,19
105,19
106,19
107,19
108,19
109,19
110,19
111,10
112,10
113,10
114,10
115,10
116,10
117,24
118,24
119,24
120,10
121,10
122,10
123,10
124,10
125,10
126,10
127,24
128,24
129,24
130,24
131,10
132,10
133,10
134,10
135,19
136,10
137,10
138,10
139,10
140,10
141,10
142,10
143,10
144,24
145,10
146,10
147,10
148,10
149,10
150,10
151,10
152,10
153,10
154,10
155,24
156,24
157,10
158,24
159,24
160,24
161,19
162,24
163,10
164,10
165,10
166,10
167,10
168,10
169,10
170,10
171,10
172,10
173,10
174,10
175,10
176,10
177,24
178,7
179,0
180,24
181,24
182,19
183,19
184,19
185,21
186,21
187,21
188,21
189,21
190,21
191,19
192,24
193,24
194,24
195,24
196,24
197,24
198,24
199,24
200,24
201,24
202,24
203,24
204,24
205,24
206,24
207,0
208,0
209,19
210,19
211,24
212,19
213,24
214,24
215,24
216,24
217,3
218,3
219,3
220,24
221,24
222,24
223,19
224,24
225,7
226,14
227,14
228,24
229,7
230,14
231,14
232,24
233,24
234,12
235,12
236,12
237,12
238,7
239,24
240,24
241,7
242,7
243,7
244,7
245,7
246,14
247,14
248,14
249,7
250,1
251,1
252,1
253,1
254,24
255,10
256,14
257,10
258,10
259,7
260,7
261,7
262,7
263,7
264,10
265,10
266,10
267,1
268,10
269,25
270,25
271,7
272,10
273,25
274,25
275,24
276,24
277,24
278,24
279,24
280,24
281,17
282,17
283,17
284,17
285,24
286,24
287,24
288,24
289,7
290,7
291,7
292,7
293,7
294,25
295,25
296,25
297,7
298,10
299,1
300,1
301,1
302,1
303,1
304,19
305,4
306,19
307,19
308,19
309,19
310,19
311,19
312,19
313,19
314,19
315,19
316,24
317,24
318,24
319,7
320,7
321,19
322,7
323,7
324,19
325,3
326,7
327,7
328,7
329,7
330,7
331,7
332,7
333,7
334,7
335,7
336,7
337,24
338,19
339,24
340,24
341,24
342,24
343,16
344,19
345,7
346,7
347,7
348,7
349,24
350,24
351,0
352,1
353,0
354,24
355,0
356,24
357,0
358,24
359,24
360,1
361,24
362,24
363,7
364,0
365,0
366,24
367,19
368,19
369,24
370,7
371,7
372,0
373,0
374,7
375,7
376,7
377,7
378,7
379,1
380,7
381,1
382,7
383,24
384,7
385,7
386,7
387,7
388,7
389,7
390,7
391,3
392,24
393,19
394,19
395,24
396,7
397,7
398,7
399,7
400,24
401,19
402,3
403,3
404,3
405,3
406,3
407,3
408,3
409,3
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
419,3
420,3
421,3
422,17
423,4
424,24
425,3
426,3
427,7
428,7
429,7
430,7
431,7
432,7
433,9
434,7
435,7
436,7
437,7
438,7
439,14
440,7
441,7
442,19
443,19
444,19
445,1
446,9
447,7
448,1
449,1
450,1
451,9
452,19
453,1
454,1
455,1
456,9
457,9
458,7
459,9
460,4
461,24
462,9
463,10
464,24
465,7
466,9
