section_first_used,also_used_in,status,git_last_commit,disk_mtime,path
s2,paper,current,2026-09-03,2026-09-03,02_FBM_Clustering/outputs/clustering/paper_figures/FIG3_lana_concat_bands5_K8.png
s2,paper,current,2026-09-03,2026-09-03,02_FBM_Clustering/outputs/clustering/paper_figures/FIG3_lana_concat_bands5z_K8.png
s2,paper,current,2026-09-03,2026-09-03,02_FBM_Clustering/outputs/clustering/paper_figures/FIG3_lana_concat_hg_K8.png
s2,paper,current,2026-09-03,2026-09-03,02_FBM_Clustering/outputs/clustering/paper_figures/FIG3_lana_concat_rawds_K8.png
s2,,current,2026-08-28,2026-08-27,02_FBM_Clustering/outputs/clustering/statistics/C13_heldout_variance.png
s2,,current,2026-08-28,2026-08-27,02_FBM_Clustering/outputs/clustering/statistics/concat_hg_K11/C3a_kmeans_K11.png
s2,,current,2026-08-28,2026-08-27,02_FBM_Clustering/outputs/clustering/statistics/concat_hg_K11/C3b_hierarchical_K11.png
s2,,current,2026-08-28,2026-08-27,02_FBM_Clustering/outputs/clustering/statistics/concat_hg_K11/C3c_cnmf_K11.png
s2,,current,2026-08-28,2026-08-27,02_FBM_Clustering/outputs/clustering/statistics/concat_hg_K11/C8a_kmeans_K11.png
s2,,current,2026-08-28,2026-08-27,02_FBM_Clustering/outputs/clustering/statistics/concat_hg_K11/C8b_hierarchical_K11.png
s2,,current,2026-08-28,2026-08-27,02_FBM_Clustering/outputs/clustering/statistics/concat_hg_K11/C8c_cnmf_K11.png
s2,,current,2026-08-28,2026-08-27,02_FBM_Clustering/outputs/clustering/statistics/concat_rawds_K12/C3a_kmeans_K12.png
s2,,current,2026-08-28,2026-08-27,02_FBM_Clustering/outputs/clustering/statistics/concat_rawds_K12/C3b_hierarchical_K12.png
s2,,current,2026-08-28,2026-08-27,02_FBM_Clustering/outputs/clustering/statistics/concat_rawds_K12/C3c_cnmf_K12.png
s2,,current,2026-08-28,2026-08-27,02_FBM_Clustering/outputs/clustering/statistics/concat_rawds_K12/C8a_kmeans_K12.png
s2,,current,2026-08-28,2026-08-27,02_FBM_Clustering/outputs/clustering/statistics/concat_rawds_K12/C8b_hierarchical_K12.png
s2,,current,2026-08-28,2026-08-27,02_FBM_Clustering/outputs/clustering/statistics/concat_rawds_K12/C8c_cnmf_K12.png
lana,,stale,2026-08-03,2026-08-03,02_FBM_Clustering/outputs/clustering/atlas/lana_all/lana_cards.png
