method,method_label,space,home,silhouette,null_mean,null_sd,z,n_null
kmeans,k-means,dB,False,0.058217180037631724,0.04918391441811213,0.0013478793942502004,6.701835236931289,50
kmeans,k-means,unit-norm,True,0.11301430800552484,0.04378765255823112,0.002568459678595525,26.952595761654305,50
hierarchical,Ward,dB,False,0.05239136363893335,0.02086595856101142,0.0025920766802975184,12.162219319184432,50
hierarchical,Ward,unit-norm,True,0.08907661249123325,0.015841919355321192,0.005210004028358952,14.056552113450001,50
cnmf,convex NMF,dB,False,0.03785511805057652,0.02133887553645998,0.003627170900814017,4.55347789386211,50
cnmf,convex NMF,unit-norm,True,0.09063315486802717,0.017607037674481525,0.0028509777443953576,25.614411524995337,50
